[lin105.tsp] run 12/30 | best= 14401 | mean=14390.67 std= 26.69 | t= 26.1s ETA=00:07:26
[lin105.tsp] run 13/30 | best= 14401 | mean=14391.46 std= 25.79 | t= 24.8s ETA=00:07:02
[lin105.tsp] run 14/30 | best= 14379 | mean=14390.57 std= 25.06 | t= 24.8s ETA=00:06:37
[lin105.tsp] run 15/30 | best= 14379 | mean=14389.80 std= 24.38 | t= 25.1s ETA=00:06:12
[lin105.tsp] run 16/30 | best= 14379 | mean=14389.12 std= 23.75 | t= 24.7s ETA=00:05:47
[lin105.tsp] run 17/30 | best= 14379 | mean=14388.53 std= 23.17 | t= 24.9s ETA=00:05:22
[lin105.tsp] run 18/30 | best= 14426 | mean=14390.61 std= 24.10 | t= 25.1s ETA=00:04:58
[lin105.tsp] run 19/30 | best= 14379 | mean=14390.00 std= 23.60 | t= 24.7s ETA=00:04:33
[lin105.tsp] run 20/30 | best= 14379 | mean=14389.45 std= 23.12 | t= 24.7s ETA=00:04:08
[lin105.tsp] run 21/30 | best= 14379 | mean=14388.95 std= 22.67 | t= 25.0s ETA=00:03:43
[lin105.tsp] run 22/30 | best= 14379 | mean=14388.50 std= 22.25 | t= 24.7s ETA=00:03:18
[lin105.tsp] run 23/30 | best= 14379 | mean=14388.09 std= 21.85 | t= 24.9s ETA=00:02:53
[lin105.tsp] run 24/30 | best= 14379 | mean=14387.71 std= 21.46 | t= 24.9s ETA=00:02:29
[lin105.tsp] run 25/30 | best= 14379 | mean=14387.36 std= 21.10 | t= 24.8s ETA=00:02:04
[lin105.tsp] run 26/30 | best= 14434 | mean=14389.15 std= 22.55 | t= 24.7s ETA=00:01:39
[lin105.tsp] run 27/30 | best= 14379 | mean=14388.78 std= 22.21 | t= 25.1s ETA=00:01:14
[lin105.tsp] run 28/30 | best= 14379 | mean=14388.43 std= 21.89 | t= 25.1s ETA=00:00:49
[lin105.tsp] run 29/30 | best= 14379 | mean=14388.10 std= 21.57 | t= 25.1s ETA=00:00:24
[lin105.tsp] run 30/30 | best= 14379 | mean=14387.80 std= 21.28 | t= 24.8s ETA=00:00:00
>> lin105.tsp: avg=14387.80, std=21.28

>>> pcb442.tsp (n=442) | resume from run 0/30
[pcb442.tsp] run  1/30 | best= 52775 | mean=52775.00 std=  0.00 | t=151.7s ETA=01:13:18
[pcb442.tsp] run  2/30 | best= 53510 | mean=53142.50 std=367.50 | t=163.1s ETA=01:13:26
[pcb442.tsp] run  3/30 | best= 52253 | mean=52846.00 std=515.62 | t=163.9s ETA=01:11:47
